sample.id	date	temp	spc	oxygen	salinity	secchi	ph	orp	air.temp
1	04/19/13	13.47	0.481	8.96	0.23	0.28	8.13		3.9
2	04/25/13	11.71	0.548	9.37	0.26	1.25	8.12		23.9
3	05/02/13	19.58	0.567	9.48	0.27	2.12	8.28		22.4
4	05/09/13	18.36	0.553	12.41	0.27	1.50	8.45		23.9
5	05/17/13	20.86	0.577	8.26	0.28	2.23	8.22		22.8
6	05/24/13	20.17	0.591	8.18	0.29	3.20	8.14		12.2
7	05/29/13	20.16	0.585	7.83	0.28	3.20	8.11		23.9
8	06/07/13	23.01	0.566	9.80	0.27	1.85	8.32		21.1
9	06/14/13	24.61	0.558	9.61	0.27	2.00	8.24		23.9
10	06/21/13	25.17	0.524	9.02	0.25	2.18	8.38		27.2
11	06/28/13	25.10	0.414	6.98	0.20	1.20	8.09		26.1
12	07/05/13	23.26	0.422	8.51	0.20	1.60	8.31		22.8
13	07/12/13	25.12	0.438	9.47	0.21	2.25	8.61		23.9
14	07/19/13	29.56	0.448	8.35	0.22	2.20	8.64		30.0
15	07/26/19	25.05	0.415	9.63	0.20	2.05	8.67		16.1
16	08/01/13	26.27	0.415	10.48	0.20	1.25	9.10		22.2
17	08/09/13	25.78	0.418	8.35	0.20	1.75	8.91		22.0
18	08/16/13	23.50	0.429	8.62	0.20	1.00	8.87		13.3
19	08/23/13	25.34	0.428	8.26	0.20	2.00	8.99		28.0
20	08/30/13	27.08	0.431	7.27	0.20	2.70	8.89		32.0
21	09/06/13	25.11	0.439	6.45	0.20	2.25	8.66		26.0
22	09/13/13	29.77	0.435	6.00	0.27	2.00	8.75		19.0
23	09/20/13	22.48	0.443	6.60	0.21	1.60	9.03		23.0
24	09/27/13	20.19	0.450	7.63	0.22	1.70	9.02		25.0
25	10/04/13	20.78	0.446	9.23	0.21	1.30	9.45		26.0
26	10/11/13	17.51	0.435	4.92	0.21	1.80	8.69		22.0
27	10/18/13	15.92	0.458	4.53	0.22	1.90	8.64		18.0
28	10/25/13	12.82	0.490	4.54	0.23	3.00	8.67		8.0
29	11/01/13	12.68	0.478	5.37	0.23	1.50	8.79		16.0
30	11/08/13	10.06	0.510	3.89	0.24	3.60	8.76		10.0
31	11/15/13	7.82	0.532	4.20	0.25	2.80	8.70		12.0
