"sample.ID","sample.type","sample.number"
"ULD97","DNA",97
"ULD98","DNA",98
"ULD99","DNA",99
"ULD100","DNA",100
"ULD101","DNA",101
"ULD102","DNA",102
"ULD103","DNA",103
"ULD104","DNA",104
"ULD105","DNA",105
"ULD106","DNA",106
"ULD107","DNA",107
"ULD108","DNA",108
"ULD109","DNA",109
"ULD110","DNA",110
"ULD111","DNA",111
"ULD112","DNA",112
"ULD113","DNA",113
"ULD114","DNA",114
"ULD115","DNA",115
"ULD116","DNA",116
"ULD117","DNA",117
"ULD118","DNA",118
"ULD119","DNA",119
"ULD120","DNA",120
"ULD121","DNA",121
"ULD122","DNA",122
"ULD123","DNA",123
"ULD124","DNA",124
"ULc97","RNA",97
"ULc98","RNA",98
"ULc99","RNA",99
"ULc100","RNA",100
"ULc101","RNA",101
"ULc102","RNA",102
"ULc103","RNA",103
"ULc104","RNA",104
"ULc105","RNA",105
"ULc106","RNA",106
"ULc107","RNA",107
"ULc108","RNA",108
"ULc109","RNA",109
"ULc110","RNA",110
"ULc111","RNA",111
"ULc112","RNA",112
"ULc113","RNA",113
"ULc114","RNA",114
"ULc115","RNA",115
"ULc116","RNA",116
"ULc117","RNA",117
"ULc118","RNA",118
"ULc119","RNA",119
"ULc120","RNA",120
"ULc121","RNA",121
"ULc122","RNA",122
"ULc123","RNA",123
"ULc124","RNA",124
