N_tax,N_sim,subset,null_sd,null_min,null_max,null_mean,obs_cov
3,5000,active,0.027076402850661097,-0.16832840329035317,0.04381837195622117,-0.048228705031851414,-0.09718987040273099
3,5000,total,0.01037286319369994,-0.061945296393922565,0.02192815797536717,-0.01845002705126779,-0.02878448163037162
7,5000,active,0.03533979845327644,-0.2553667139469879,0.007730721650702131,-0.12062816929490408,-0.25789232513081706
7,5000,total,0.005460272507711025,-0.028135144397575335,0.02241903132469189,-2.420491186865357e-4,0.00519629387818241
11,5000,active,0.026532892901353206,-0.1968691149399698,0.019995909012925923,-0.10420348106583412,-0.23767510561719296
11,5000,total,0.005351643078667744,-0.027410585585845085,0.018082953879108476,-0.0031145125273876477,-0.015224599015441409
15,5000,active,0.03461000791504399,-0.34078400246569696,-0.0884004619296978,-0.2149700782112646,-0.3491832759578566
15,5000,total,0.007451552190777188,-0.042208429398634915,0.00885853603185896,-0.012796267936422431,-0.0488301723104605
19,5000,active,0.03611999023607127,-0.4322497745655152,-0.17944811986373582,-0.3147954660081134,-0.4532033700056377
19,5000,total,0.009508065202413183,-0.06478432585233483,0.005585420916689704,-0.031334872838605546,-0.08814109641968354
23,5000,active,0.03581160278948506,-0.5223265399392606,-0.26244079581378216,-0.41014923993272784,-0.5141622316129476
23,5000,total,0.010568320819089209,-0.08921550290110013,-0.01815821470505233,-0.05156045276718249,-0.1332426504223385
27,5000,active,0.03139550458229739,-0.554884580149564,-0.321072422224229,-0.4391448643252874,-0.48674577276252623
27,5000,total,0.011068016136248587,-0.11563965839255781,-0.030528045138809447,-0.0706896124255808,-0.13435825298709084
31,5000,active,0.031410962419498735,-0.6173704329188854,-0.3509581034471908,-0.509177229199623,-0.7066230219220727
31,5000,total,0.011945582856431694,-0.1476672271770381,-0.0587171756846593,-0.10205315704090315,-0.1682000484367313
35,5000,active,0.030517968619180103,-0.6329541901057274,-0.4053811730449501,-0.5278497873567208,-0.7000314550792718
35,5000,total,0.013367082444360035,-0.20777359455642525,-0.0866100726160859,-0.15045773119413913,-0.22391509219311298
39,5000,active,0.028732670682781996,-0.6408219797527817,-0.43735424011301466,-0.535664670175881,-0.7159085176131589
39,5000,total,0.01457722526531593,-0.24016375768433967,-0.13008649406669384,-0.1863632980044472,-0.2972794004880697
43,5000,active,0.030449567803881257,-0.7319376078825404,-0.517576487775762,-0.6253518910650897,-0.7749611289441741
43,5000,total,0.015892698209447234,-0.2984621002351616,-0.184775340898194,-0.2408920627084327,-0.33108312332648576
47,5000,active,0.029624465229324517,-0.8171870003339627,-0.6031964170147496,-0.7125158469614941,-0.8705563533210817
47,5000,total,0.016490019231983472,-0.34468532708378385,-0.22699237106736733,-0.2877773752499411,-0.37614505633627365
51,5000,active,0.029019635535103696,-0.8814527383881154,-0.6696753934470541,-0.7686743294521403,-0.9110601249032706
51,5000,total,0.017074348860043304,-0.39126531010769394,-0.27228047406659633,-0.33592812126580274,-0.41958150052919846
55,5000,active,0.02827186168117365,-0.8955984727728246,-0.6719909325008667,-0.798404279083641,-0.9450393963173622
55,5000,total,0.017318409429665834,-0.4415602850759609,-0.3148892112725591,-0.3744141627064544,-0.47740105962322715
59,5000,active,0.02597031253213684,-0.9261586608512824,-0.7256555278966058,-0.8317046932901997,-0.9553080583274502
59,5000,total,0.01754994902773719,-0.4891858361372889,-0.35998371650896216,-0.42494493937639166,-0.5143054586318473
63,5000,active,0.02808818706109469,-0.9755217185641327,-0.7719515210577962,-0.8859279563535942,-1.0831957663729634
63,5000,total,0.017863148080944684,-0.5272181952521805,-0.4047145467746179,-0.4703604173999518,-0.5766576852798512
67,5000,active,0.026571733676996938,-1.0882773989707535,-0.8632680951332892,-0.9617575462362963,-1.1419626988332752
67,5000,total,0.017028293024317562,-0.6013517902538107,-0.4731937424902461,-0.5372179387168203,-0.6265793349300843
71,5000,active,0.026403151932507914,-1.0351826118816367,-0.8494880851538883,-0.9454554344515168,-1.1182836749759382
71,5000,total,0.01833796263628889,-0.6761697773323525,-0.5479037882915939,-0.6129800004635959,-0.726638464019198
75,5000,active,0.023967649657756343,-1.0194003319190712,-0.8432244091987586,-0.9219478033043466,-1.0762297187244858
75,5000,total,0.01820593203571494,-0.7592681736796745,-0.6324645623959712,-0.6967886697060863,-0.7936082353869417
79,5000,active,0.02254474761739281,-1.0568038267281084,-0.86562231945359,-0.9643364467949331,-1.0960749669516634
79,5000,total,0.01811822419292517,-0.8983060638622743,-0.7595628294982099,-0.8301372259357174,-0.8712654273068409
